epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.893109917640686,0.9204705357551575,0.0005000000237487257,0.3743409514427185,0.3015903830528259,0.8073538541793823,0.9367155432701111,0.9572509527206421,0.2546923756599426,0.4420044720172882,0.842052698135376
1,0.9343416690826416,0.9673331379890442,0.0005000000237487257,0.25410714745521545,0.43455731868743896,0.8857367038726807,0.9604427814483643,0.9843953251838684,0.17702285945415497,0.5743807554244995,0.914333701133728
2,0.9556115865707397,0.9830659627914429,0.0005000000237487257,0.1900930553674698,0.5424162745475769,0.9181339740753174,0.9657084941864014,0.9917927980422974,0.1414351910352707,0.6099480986595154,0.9386541843414307
3,0.9593546986579895,0.9894290566444397,0.0005000000237487257,0.1564253270626068,0.5647642016410828,0.9409706592559814,0.9411110281944275,0.9948866367340088,0.15713486075401306,0.4674815237522125,0.9787648916244507
4,0.9627358913421631,0.9928295612335205,0.0005000000237487257,0.13380898535251617,0.5860459208488464,0.9570811986923218,0.9749980568885803,0.9973437190055847,0.09375891089439392,0.6808267831802368,0.974454402923584
5,0.9671434164047241,0.9950476884841919,0.0005000000237487257,0.11622884124517441,0.6167629361152649,0.9668580293655396,0.9780318737030029,0.998532235622406,0.0823996290564537,0.7063775658607483,0.986024796962738
6,0.971184492111206,0.9965115189552307,0.0005000000237487257,0.10211601108312607,0.6474407315254211,0.9749533534049988,0.9833657741546631,0.9989272356033325,0.0721852034330368,0.7613144516944885,0.9892009496688843
7,0.9761428236961365,0.9973546862602234,0.0005000000237487257,0.09144041687250137,0.6900292634963989,0.9798938035964966,0.9835256934165955,0.9993897080421448,0.0723678395152092,0.7603380084037781,0.9961432218551636
8,0.9789126515388489,0.9978326559066772,0.0005000000237487257,0.08388496935367584,0.7159062623977661,0.9833930134773254,0.9810633659362793,0.9994106292724609,0.07946322858333588,0.7330933809280396,0.9980035424232483
9,0.9805428981781006,0.9981957674026489,0.0005000000237487257,0.0783175379037857,0.731764554977417,0.9860513806343079,0.9898237586021423,0.9995622634887695,0.05775583162903786,0.8387911319732666,0.9948727488517761
10,0.9828396439552307,0.998405396938324,0.0005000000237487257,0.07345811277627945,0.7557384371757507,0.9883654713630676,0.9651910662651062,0.9993197321891785,0.11882543563842773,0.5982943177223206,0.9995008707046509
11,0.9839668273925781,0.9986288547515869,0.0005000000237487257,0.07043316215276718,0.7679076194763184,0.9898307919502258,0.9855270385742188,0.9996078014373779,0.06846487522125244,0.7821191549301147,0.9990925192832947
12,0.9854036569595337,0.998722493648529,0.0005000000237487257,0.06800110638141632,0.7845178246498108,0.990423321723938,0.9926153421401978,0.9997376203536987,0.05172145366668701,0.8764891028404236,0.9981850385665894
13,0.986810564994812,0.9989275932312012,0.0005000000237487257,0.06457939743995667,0.8013229966163635,0.9913121461868286,0.9852542281150818,0.9997224807739258,0.07165691256523132,0.7785747051239014,0.999863862991333
14,0.9878489375114441,0.9989801049232483,0.0005000000237487257,0.06278496980667114,0.814323365688324,0.9916805028915405,0.994877815246582,0.9998142123222351,0.046116627752780914,0.9125503897666931,0.9966877102851868
15,0.9878908395767212,0.9990580081939697,0.0005000000237487257,0.06133931502699852,0.8143805265426636,0.9926173090934753,0.9914041757583618,0.9998157620429993,0.05380212515592575,0.8580833673477173,0.9994555115699768
16,0.9885739684104919,0.9990726709365845,0.0005000000237487257,0.059316907078027725,0.8228283524513245,0.9934660792350769,0.9961124658584595,0.9998508095741272,0.042988087981939316,0.9331180453300476,0.9964154362678528
17,0.989143431186676,0.9991363286972046,0.0005000000237487257,0.05849713087081909,0.8302735090255737,0.9936662912368774,0.9902706146240234,0.9997841119766235,0.05763717368245125,0.8420590162277222,0.9998185038566589
18,0.9901253581047058,0.9991771578788757,0.0005000000237487257,0.05634290352463722,0.8432640433311462,0.994290828704834,0.9926577210426331,0.9998067021369934,0.05099247023463249,0.8762181401252747,0.999546229839325
19,0.9904797673225403,0.9991635680198669,0.0005000000237487257,0.05549954995512962,0.8480594158172607,0.9944990277290344,0.9943909645080566,0.9998995065689087,0.04645417258143425,0.9023830890655518,0.9999546408653259
20,0.9907354116439819,0.9992077350616455,0.0005000000237487257,0.05459677428007126,0.85158371925354,0.9945951104164124,0.993937075138092,0.9998670220375061,0.04851619899272919,0.895307719707489,0.9999546408653259
21,0.9911176562309265,0.999213457107544,0.0005000000237487257,0.05348069220781326,0.8565768003463745,0.9952757358551025,0.9979539513587952,0.9998939037322998,0.039015788584947586,0.9651914238929749,0.9964607954025269
22,0.9910948276519775,0.9992397427558899,0.0005000000237487257,0.0535537526011467,0.856227695941925,0.9953157901763916,0.9943886399269104,0.9998365640640259,0.04786152392625809,0.9024120569229126,0.999863862991333
23,0.9921548366546631,0.9992846846580505,0.0005000000237487257,0.05177542194724083,0.8715087175369263,0.995395839214325,0.992944598197937,0.9997803568840027,0.05237604305148125,0.8805212378501892,0.9995008707046509
24,0.992255687713623,0.999351978302002,0.0005000000237487257,0.051171787083148956,0.872817873954773,0.9956681132316589,0.9934902191162109,0.9998555183410645,0.05048681050539017,0.8884499073028564,0.9999546408653259
25,0.9924727082252502,0.9993448853492737,0.0005000000237487257,0.05064893513917923,0.8759596943855286,0.9957801699638367,0.9968979954719543,0.9999010562896729,0.041396722197532654,0.9436450600624084,0.999863862991333
26,0.9926130175590515,0.9993509650230408,0.0005000000237487257,0.050163354724645615,0.8779487609863281,0.9959323406219482,0.9930551648139954,0.9998799562454224,0.04950232431292534,0.8818727731704712,0.9999546408653259
27,0.99313884973526,0.9994024634361267,0.0005000000237487257,0.04918833449482918,0.8856626152992249,0.9962366223335266,0.9972201585769653,0.9998807311058044,0.04035262390971184,0.9509621858596802,0.9978220462799072
28,0.9952081441879272,0.9995651245117188,0.0002500000118743628,0.04506678506731987,0.9174714684486389,0.9972535371780396,0.9960278272628784,0.9998338222503662,0.04337359964847565,0.9288544058799744,0.9999546408653259
29,0.9951363205909729,0.9995472431182861,0.0002500000118743628,0.044825486838817596,0.9161567687988281,0.9974457025527954,0.9971942901611328,0.9999121427536011,0.03987238183617592,0.9486870169639587,0.9999546408653259
30,0.9954667091369629,0.9996289014816284,0.0002500000118743628,0.04335435479879379,0.9211841225624084,0.9979181289672852,0.9953317046165466,0.9998841285705566,0.04498188570141792,0.9174090623855591,0.9999546408653259
31,0.9958534836769104,0.9996240735054016,0.0002500000118743628,0.0430513471364975,0.927688717842102,0.9977740049362183,0.9930504560470581,0.999860405921936,0.05228300020098686,0.8818022012710571,0.9999546408653259
